date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:57:27	29949/29949	---M--	200	added ('OK')	image/jpeg	date:Sun,%2007%20Apr%202024%2010:57:26%20GMT	https://htmldemo.net/pustok/pustok/image/products/product-details-5.jpg	D:/Documents/Bookstores/ver%206/htmldemo.net/pustok/pustok/image/products/product-details-5.jpg	(from https://htmldemo.net/pustok/pustok/index-2.html)
17:57:27	1422/1422	---M--	200	added ('OK')	image/jpeg	date:Wed,%2027%20Mar%202024%2007:07:27%20GMT	https://htmldemo.net/pustok/pustok/image/others/brand-2.jpg	D:/Documents/Bookstores/ver%206/htmldemo.net/pustok/pustok/image/others/brand-2.jpg	(from https://htmldemo.net/pustok/pustok/index-2.html)
17:57:27	1308/1308	---M--	200	added ('OK')	image/jpeg	date:Sun,%2007%20Apr%202024%2010:57:27%20GMT	https://htmldemo.net/pustok/pustok/image/others/brand-3.jpg	D:/Documents/Bookstores/ver%206/htmldemo.net/pustok/pustok/image/others/brand-3.jpg	(from https://htmldemo.net/pustok/pustok/index-2.html)
17:57:28	1307/1307	---M--	200	added ('OK')	image/jpeg	date:Sun,%2007%20Apr%202024%2010:57:27%20GMT	https://htmldemo.net/pustok/pustok/image/others/brand-4.jpg	D:/Documents/Bookstores/ver%206/htmldemo.net/pustok/pustok/image/others/brand-4.jpg	(from https://htmldemo.net/pustok/pustok/index-2.html)
17:57:28	1359/1359	---M--	200	added ('OK')	image/jpeg	date:Wed,%2027%20Mar%202024%2007:07:28%20GMT	https://htmldemo.net/pustok/pustok/image/others/brand-5.jpg	D:/Documents/Bookstores/ver%206/htmldemo.net/pustok/pustok/image/others/brand-5.jpg	(from https://htmldemo.net/pustok/pustok/index-2.html)
17:57:28	1247/1247	---M--	200	added ('OK')	image/jpeg	date:Wed,%2027%20Mar%202024%2007:07:28%20GMT	https://htmldemo.net/pustok/pustok/image/others/brand-6.jpg	D:/Documents/Bookstores/ver%206/htmldemo.net/pustok/pustok/image/others/brand-6.jpg	(from https://htmldemo.net/pustok/pustok/index-2.html)
17:57:28	2436/2436	---MC-	200	added ('OK')	image/png	date:Wed,%2027%20Mar%202024%2007:07:28%20GMT	https://htmldemo.net/pustok/pustok/image/logo--footer.png	D:/Documents/Bookstores/ver%206/htmldemo.net/pustok/pustok/image/logo--footer.png	(from https://htmldemo.net/pustok/pustok/index-2.html)
17:57:29	7802/7802	---MC-	200	added ('OK')	image/png	date:Sun,%2007%20Apr%202024%2010:57:28%20GMT	https://htmldemo.net/pustok/pustok/image/icon/payment.png	D:/Documents/Bookstores/ver%206/htmldemo.net/pustok/pustok/image/icon/payment.png	(from https://htmldemo.net/pustok/pustok/index-2.html)
17:57:29	326539/326539	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263620968-4fb8b%22	https://htmldemo.net/pustok/pustok/js/plugins.js	D:/Documents/Bookstores/ver%206/htmldemo.net/pustok/pustok/js/plugins.js	(from https://htmldemo.net/pustok/pustok/index-2.html)
17:57:29	6086/6086	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263620965-17c6%22	https://htmldemo.net/pustok/pustok/js/ajax-mail.js	D:/Documents/Bookstores/ver%206/htmldemo.net/pustok/pustok/js/ajax-mail.js	(from https://htmldemo.net/pustok/pustok/index-2.html)
17:57:30	20367/20367	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263620965-4f8f%22	https://htmldemo.net/pustok/pustok/js/custom.js	D:/Documents/Bookstores/ver%206/htmldemo.net/pustok/pustok/js/custom.js	(from https://htmldemo.net/pustok/pustok/index-2.html)
